Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,league,source
28/08/2026,19:30,Bayern Munich,Stuttgart,5,1,1,0,Bundesliga,https://www.football-data.co.uk/mmz4281/2627/D1.csv
29/08/2026,14:30,Elversberg,Leverkusen,3,2,2,0,Bundesliga,https://www.football-data.co.uk/mmz4281/2627/D1.csv
29/08/2026,14:30,FC Koln,Hoffenheim,3,2,0,1,Bundesliga,https://www.football-data.co.uk/mmz4281/2627/D1.csv
29/08/2026,14:30,Mainz,Paderborn,0,0,0,0,Bundesliga,https://www.football-data.co.uk/mmz4281/2627/D1.csv
29/08/2026,14:30,RB Leipzig,M'gladbach,3,0,1,0,Bundesliga,https://www.football-data.co.uk/mmz4281/2627/D1.csv
29/08/2026,14:30,Union Berlin,Ein Frankfurt,3,3,1,2,Bundesliga,https://www.football-data.co.uk/mmz4281/2627/D1.csv
29/08/2026,17:30,Dortmund,Hamburg,2,0,2,0,Bundesliga,https://www.football-data.co.uk/mmz4281/2627/D1.csv
30/08/2026,14:30,Freiburg,Werder Bremen,4,1,2,0,Bundesliga,https://www.football-data.co.uk/mmz4281/2627/D1.csv
30/08/2026,16:30,Augsburg,Schalke 04,3,0,1,0,Bundesliga,https://www.football-data.co.uk/mmz4281/2627/D1.csv
04/09/2026,19:30,Stuttgart,FC Koln,4,1,1,0,Bundesliga,https://www.football-data.co.uk/mmz4281/2627/D1.csv
05/09/2026,14:30,Hoffenheim,Dortmund,2,3,1,0,Bundesliga,https://www.football-data.co.uk/mmz4281/2627/D1.csv
05/09/2026,14:30,Leverkusen,Union Berlin,4,0,2,0,Bundesliga,https://www.football-data.co.uk/mmz4281/2627/D1.csv
05/09/2026,14:30,M'gladbach,Elversberg,3,4,2,1,Bundesliga,https://www.football-data.co.uk/mmz4281/2627/D1.csv
05/09/2026,14:30,Paderborn,Freiburg,0,1,0,1,Bundesliga,https://www.football-data.co.uk/mmz4281/2627/D1.csv
05/09/2026,14:30,Werder Bremen,RB Leipzig,3,1,1,0,Bundesliga,https://www.football-data.co.uk/mmz4281/2627/D1.csv
05/09/2026,17:30,Schalke 04,Bayern Munich,0,0,0,0,Bundesliga,https://www.football-data.co.uk/mmz4281/2627/D1.csv
06/09/2026,14:30,Hamburg,Mainz,0,5,0,2,Bundesliga,https://www.football-data.co.uk/mmz4281/2627/D1.csv
06/09/2026,16:30,Ein Frankfurt,Augsburg,1,4,1,0,Bundesliga,https://www.football-data.co.uk/mmz4281/2627/D1.csv
11/09/2026,19:30,Union Berlin,Schalke 04,1,3,0,1,Bundesliga,https://www.football-data.co.uk/mmz4281/2627/D1.csv
12/09/2026,14:30,Augsburg,Leverkusen,2,2,0,1,Bundesliga,https://www.football-data.co.uk/mmz4281/2627/D1.csv
12/09/2026,14:30,Dortmund,Paderborn,3,0,1,0,Bundesliga,https://www.football-data.co.uk/mmz4281/2627/D1.csv
12/09/2026,14:30,Freiburg,M'gladbach,5,0,2,0,Bundesliga,https://www.football-data.co.uk/mmz4281/2627/D1.csv
12/09/2026,14:30,Hoffenheim,Stuttgart,2,1,1,0,Bundesliga,https://www.football-data.co.uk/mmz4281/2627/D1.csv
12/09/2026,14:30,Mainz,Ein Frankfurt,1,3,0,2,Bundesliga,https://www.football-data.co.uk/mmz4281/2627/D1.csv
12/09/2026,17:30,FC Koln,Werder Bremen,1,1,1,0,Bundesliga,https://www.football-data.co.uk/mmz4281/2627/D1.csv
13/09/2026,14:30,RB Leipzig,Hamburg,5,0,2,0,Bundesliga,https://www.football-data.co.uk/mmz4281/2627/D1.csv
13/09/2026,16:30,Elversberg,Bayern Munich,1,2,0,1,Bundesliga,https://www.football-data.co.uk/mmz4281/2627/D1.csv
