Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,league,source
26/08/07(金),19:26,横浜FM,鹿島,3.0,4.0,J1 League,https://data.j-league.or.jp/SFMS01/search?competition_years=2026&competition_frame_ids=1&tv_relay_station_name=
26/08/07(金),19:33,Ｇ大阪,浦和,4.0,3.0,J1 League,https://data.j-league.or.jp/SFMS01/search?competition_years=2026&competition_frame_ids=1&tv_relay_station_name=
26/08/08(土),19:03,Ｃ大阪,岡山,2.0,1.0,J1 League,https://data.j-league.or.jp/SFMS01/search?competition_years=2026&competition_frame_ids=1&tv_relay_station_name=
26/08/08(土),19:03,名古屋,清水,0.0,1.0,J1 League,https://data.j-league.or.jp/SFMS01/search?competition_years=2026&competition_frame_ids=1&tv_relay_station_name=
26/08/08(土),19:04,福岡,神戸,0.0,1.0,J1 League,https://data.j-league.or.jp/SFMS01/search?competition_years=2026&competition_frame_ids=1&tv_relay_station_name=
26/08/08(土),19:04,柏,水戸,2.0,1.0,J1 League,https://data.j-league.or.jp/SFMS01/search?competition_years=2026&competition_frame_ids=1&tv_relay_station_name=
26/08/08(土),19:05,FC東京,町田,1.0,5.0,J1 League,https://data.j-league.or.jp/SFMS01/search?competition_years=2026&competition_frame_ids=1&tv_relay_station_name=
26/08/08(土),19:19,広島,千葉,3.0,0.0,J1 League,https://data.j-league.or.jp/SFMS01/search?competition_years=2026&competition_frame_ids=1&tv_relay_station_name=
26/08/09(日),18:04,東京Ｖ,川崎Ｆ,1.0,1.0,J1 League,https://data.j-league.or.jp/SFMS01/search?competition_years=2026&competition_frame_ids=1&tv_relay_station_name=
26/08/09(日),19:08,長崎,京都,2.0,1.0,J1 League,https://data.j-league.or.jp/SFMS01/search?competition_years=2026&competition_frame_ids=1&tv_relay_station_name=
26/08/14(金),19:03,東京Ｖ,柏,1.0,3.0,J1 League,https://data.j-league.or.jp/SFMS01/search?competition_years=2026&competition_frame_ids=1&tv_relay_station_name=
26/08/15(土),18:03,水戸,Ｇ大阪,1.0,1.0,J1 League,https://data.j-league.or.jp/SFMS01/search?competition_years=2026&competition_frame_ids=1&tv_relay_station_name=
26/08/15(土),18:03,鹿島,名古屋,2.0,1.0,J1 League,https://data.j-league.or.jp/SFMS01/search?competition_years=2026&competition_frame_ids=1&tv_relay_station_name=
26/08/15(土),18:34,清水,横浜FM,0.0,1.0,J1 League,https://data.j-league.or.jp/SFMS01/search?competition_years=2026&competition_frame_ids=1&tv_relay_station_name=
26/08/15(土),19:00,岡山,長崎,1.0,0.0,J1 League,https://data.j-league.or.jp/SFMS01/search?competition_years=2026&competition_frame_ids=1&tv_relay_station_name=
26/08/15(土),19:03,福岡,Ｃ大阪,3.0,0.0,J1 League,https://data.j-league.or.jp/SFMS01/search?competition_years=2026&competition_frame_ids=1&tv_relay_station_name=
26/08/15(土),19:03,川崎Ｆ,京都,2.0,2.0,J1 League,https://data.j-league.or.jp/SFMS01/search?competition_years=2026&competition_frame_ids=1&tv_relay_station_name=
26/08/15(土),19:03,浦和,広島,1.0,4.0,J1 League,https://data.j-league.or.jp/SFMS01/search?competition_years=2026&competition_frame_ids=1&tv_relay_station_name=
26/08/15(土),19:03,神戸,FC東京,2.0,2.0,J1 League,https://data.j-league.or.jp/SFMS01/search?competition_years=2026&competition_frame_ids=1&tv_relay_station_name=
26/08/15(土),19:04,千葉,町田,0.0,4.0,J1 League,https://data.j-league.or.jp/SFMS01/search?competition_years=2026&competition_frame_ids=1&tv_relay_station_name=
26/08/21(金),19:03,柏,長崎,4.0,2.0,J1 League,https://data.j-league.or.jp/SFMS01/search?competition_years=2026&competition_frame_ids=1&tv_relay_station_name=
26/08/21(金),19:34,FC東京,千葉,2.0,0.0,J1 League,https://data.j-league.or.jp/SFMS01/search?competition_years=2026&competition_frame_ids=1&tv_relay_station_name=
26/08/22(土),18:03,鹿島,福岡,3.0,2.0,J1 League,https://data.j-league.or.jp/SFMS01/search?competition_years=2026&competition_frame_ids=1&tv_relay_station_name=
26/08/22(土),18:33,岡山,東京Ｖ,0.0,0.0,J1 League,https://data.j-league.or.jp/SFMS01/search?competition_years=2026&competition_frame_ids=1&tv_relay_station_name=
26/08/22(土),19:03,名古屋,Ｇ大阪,3.0,1.0,J1 League,https://data.j-league.or.jp/SFMS01/search?competition_years=2026&competition_frame_ids=1&tv_relay_station_name=
26/08/22(土),19:03,Ｃ大阪,清水,1.0,0.0,J1 League,https://data.j-league.or.jp/SFMS01/search?competition_years=2026&competition_frame_ids=1&tv_relay_station_name=
26/08/22(土),19:03,京都,水戸,1.0,3.0,J1 League,https://data.j-league.or.jp/SFMS01/search?competition_years=2026&competition_frame_ids=1&tv_relay_station_name=
26/08/22(土),19:20,広島,川崎Ｆ,1.0,1.0,J1 League,https://data.j-league.or.jp/SFMS01/search?competition_years=2026&competition_frame_ids=1&tv_relay_station_name=
26/08/22(土),19:33,横浜FM,神戸,1.0,0.0,J1 League,https://data.j-league.or.jp/SFMS01/search?competition_years=2026&competition_frame_ids=1&tv_relay_station_name=
26/08/23(日),19:35,町田,浦和,3.0,1.0,J1 League,https://data.j-league.or.jp/SFMS01/search?competition_years=2026&competition_frame_ids=1&tv_relay_station_name=
26/08/29(土),18:03,水戸,町田,1.0,1.0,J1 League,https://data.j-league.or.jp/SFMS01/search?competition_years=2026&competition_frame_ids=1&tv_relay_station_name=
26/08/29(土),18:03,Ｇ大阪,広島,0.0,0.0,J1 League,https://data.j-league.or.jp/SFMS01/search?competition_years=2026&competition_frame_ids=1&tv_relay_station_name=
26/08/29(土),18:33,清水,柏,0.0,1.0,J1 League,https://data.j-league.or.jp/SFMS01/search?competition_years=2026&competition_frame_ids=1&tv_relay_station_name=
26/08/29(土),18:34,長崎,FC東京,0.0,3.0,J1 League,https://data.j-league.or.jp/SFMS01/search?competition_years=2026&competition_frame_ids=1&tv_relay_station_name=
26/08/29(土),19:03,川崎Ｆ,千葉,4.0,2.0,J1 League,https://data.j-league.or.jp/SFMS01/search?competition_years=2026&competition_frame_ids=1&tv_relay_station_name=
26/08/29(土),19:03,京都,福岡,2.0,1.0,J1 League,https://data.j-league.or.jp/SFMS01/search?competition_years=2026&competition_frame_ids=1&tv_relay_station_name=
26/08/29(土),19:03,名古屋,岡山,2.0,1.0,J1 League,https://data.j-league.or.jp/SFMS01/search?competition_years=2026&competition_frame_ids=1&tv_relay_station_name=
26/08/29(土),19:03,神戸,Ｃ大阪,1.0,0.0,J1 League,https://data.j-league.or.jp/SFMS01/search?competition_years=2026&competition_frame_ids=1&tv_relay_station_name=
