Date,HomeTeam,AwayTeam,FTHG,FTAG,league,source
05:00,Incheon United,FC Seoul,1.0,2.0,K League 1,https://www.matchesio.com/competition/k-league/
05:00,Ulsan Hyundai FC,Gangwon FC,3.0,1.0,K League 1,https://www.matchesio.com/competition/k-league/
07:30,Gimcheon Sangmu FC,Pohang Steelers,1.0,1.0,K League 1,https://www.matchesio.com/competition/k-league/
05:00,Jeonbuk Motors,Bucheon FC 1995,2.0,3.0,K League 1,https://www.matchesio.com/competition/k-league/
07:30,Jeju United FC,Gwangju FC,0.0,0.0,K League 1,https://www.matchesio.com/competition/k-league/
05:00,Daejeon Citizen,FC Anyang,1.0,1.0,K League 1,https://www.matchesio.com/competition/k-league/
07:30,Bucheon FC 1995,Daejeon Citizen,1.0,1.0,K League 1,https://www.matchesio.com/competition/k-league/
07:30,Gwangju FC,Incheon United,3.0,2.0,K League 1,https://www.matchesio.com/competition/k-league/
05:00,Gimcheon Sangmu FC,Jeonbuk Motors,1.0,1.0,K League 1,https://www.matchesio.com/competition/k-league/
07:30,FC Anyang,Jeju United FC,2.0,1.0,K League 1,https://www.matchesio.com/competition/k-league/
05:00,Gwangju FC,Jeonbuk Motors,0.0,0.0,K League 1,https://www.matchesio.com/competition/k-league/
07:30,Daejeon Citizen,Gimcheon Sangmu FC,1.0,1.0,K League 1,https://www.matchesio.com/competition/k-league/
05:00,Bucheon FC 1995,Ulsan Hyundai FC,1.0,2.0,K League 1,https://www.matchesio.com/competition/k-league/
05:00,Jeju United FC,FC Seoul,1.0,2.0,K League 1,https://www.matchesio.com/competition/k-league/
07:30,Gangwon FC,FC Anyang,1.0,1.0,K League 1,https://www.matchesio.com/competition/k-league/
07:30,Pohang Steelers,Incheon United,1.0,1.0,K League 1,https://www.matchesio.com/competition/k-league/
10:30,Gimcheon Sangmu FC,Gwangju FC,1.0,1.0,K League 1,https://www.matchesio.com/competition/k-league/
10:30,Bucheon FC 1995,Gangwon FC,0.0,0.0,K League 1,https://www.matchesio.com/competition/k-league/
10:30,Incheon United,Daejeon Citizen,1.0,3.0,K League 1,https://www.matchesio.com/competition/k-league/
10:30,Jeju United FC,Ulsan Hyundai FC,0.0,2.0,K League 1,https://www.matchesio.com/competition/k-league/
10:30,Jeonbuk Motors,FC Anyang,2.0,1.0,K League 1,https://www.matchesio.com/competition/k-league/
10:30,Pohang Steelers,FC Seoul,0.0,1.0,K League 1,https://www.matchesio.com/competition/k-league/
05:00,Daejeon Citizen,Jeonbuk Motors,0.0,1.0,K League 1,https://www.matchesio.com/competition/k-league/
05:00,FC Seoul,Gwangju FC,5.0,0.0,K League 1,https://www.matchesio.com/competition/k-league/
05:00,Ulsan Hyundai FC,Gimcheon Sangmu FC,0.0,0.0,K League 1,https://www.matchesio.com/competition/k-league/
07:30,FC Anyang,Incheon United,0.0,1.0,K League 1,https://www.matchesio.com/competition/k-league/
07:30,Gangwon FC,Jeju United FC,1.0,1.0,K League 1,https://www.matchesio.com/competition/k-league/
07:30,Pohang Steelers,Bucheon FC 1995,0.0,0.0,K League 1,https://www.matchesio.com/competition/k-league/
06:00,Pohang Steelers,Gangwon FC,1.0,0.0,K League 1,https://www.matchesio.com/competition/k-league/
05:00,Jeju United FC,Bucheon FC 1995,1.0,0.0,K League 1,https://www.matchesio.com/competition/k-league/
05:00,Jeonbuk Motors,Ulsan Hyundai FC,2.0,0.0,K League 1,https://www.matchesio.com/competition/k-league/
