Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,league,source
15/08/2026,18:30,Alaves,Getafe,3,0,0,0,LaLiga,https://www.football-data.co.uk/mmz4281/2627/SP1.csv
15/08/2026,20:30,Sevilla,Vallecano,2,1,0,1,LaLiga,https://www.football-data.co.uk/mmz4281/2627/SP1.csv
16/08/2026,16:00,Santander,Villarreal,2,2,2,2,LaLiga,https://www.football-data.co.uk/mmz4281/2627/SP1.csv
16/08/2026,18:00,Espanol,Levante,3,0,2,0,LaLiga,https://www.football-data.co.uk/mmz4281/2627/SP1.csv
17/08/2026,20:00,La Coruna,Elche,1,1,1,0,LaLiga,https://www.football-data.co.uk/mmz4281/2627/SP1.csv
19/08/2026,20:00,Ath Madrid,Malaga,2,0,0,0,LaLiga,https://www.football-data.co.uk/mmz4281/2627/SP1.csv
20/08/2026,20:00,Vallecano,Alaves,1,1,0,0,LaLiga,https://www.football-data.co.uk/mmz4281/2627/SP1.csv
21/08/2026,20:00,Betis,Sociedad,1,0,0,0,LaLiga,https://www.football-data.co.uk/mmz4281/2627/SP1.csv
22/08/2026,16:00,Ath Bilbao,Sevilla,1,3,0,1,LaLiga,https://www.football-data.co.uk/mmz4281/2627/SP1.csv
22/08/2026,18:30,Valencia,Celta,0,0,0,0,LaLiga,https://www.football-data.co.uk/mmz4281/2627/SP1.csv
22/08/2026,20:30,Espanol,Real Madrid,1,2,1,1,LaLiga,https://www.football-data.co.uk/mmz4281/2627/SP1.csv
23/08/2026,16:00,Ath Madrid,Villarreal,2,2,0,0,LaLiga,https://www.football-data.co.uk/mmz4281/2627/SP1.csv
23/08/2026,18:30,Getafe,Santander,1,0,0,0,LaLiga,https://www.football-data.co.uk/mmz4281/2627/SP1.csv
23/08/2026,20:30,Elche,Barcelona,0,5,0,2,LaLiga,https://www.football-data.co.uk/mmz4281/2627/SP1.csv
24/08/2026,18:30,Osasuna,Levante,0,0,0,0,LaLiga,https://www.football-data.co.uk/mmz4281/2627/SP1.csv
24/08/2026,20:30,Malaga,La Coruna,1,1,1,1,LaLiga,https://www.football-data.co.uk/mmz4281/2627/SP1.csv
25/08/2026,20:00,Valencia,Betis,0,1,0,0,LaLiga,https://www.football-data.co.uk/mmz4281/2627/SP1.csv
26/08/2026,20:00,Real Madrid,Sociedad,4,1,1,1,LaLiga,https://www.football-data.co.uk/mmz4281/2627/SP1.csv
27/08/2026,19:30,Celta,Osasuna,1,2,1,0,LaLiga,https://www.football-data.co.uk/mmz4281/2627/SP1.csv
27/08/2026,20:00,Barcelona,Ath Bilbao,2,0,1,0,LaLiga,https://www.football-data.co.uk/mmz4281/2627/SP1.csv
28/08/2026,18:00,Santander,Elche,3,2,3,0,LaLiga,https://www.football-data.co.uk/mmz4281/2627/SP1.csv
28/08/2026,20:30,Alaves,Villarreal,1,0,1,0,LaLiga,https://www.football-data.co.uk/mmz4281/2627/SP1.csv
29/08/2026,16:00,Levante,Betis,5,2,2,2,LaLiga,https://www.football-data.co.uk/mmz4281/2627/SP1.csv
29/08/2026,18:00,Sociedad,Espanol,2,1,1,1,LaLiga,https://www.football-data.co.uk/mmz4281/2627/SP1.csv
