Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,league,source
21/08/2026,19:45,Marseille,Strasbourg,4,0,0,0,Ligue 1,https://www.football-data.co.uk/mmz4281/2627/F1.csv
22/08/2026,16:15,Lens,Auxerre,5,2,1,0,Ligue 1,https://www.football-data.co.uk/mmz4281/2627/F1.csv
22/08/2026,19:45,Le Mans,Brest,2,2,1,1,Ligue 1,https://www.football-data.co.uk/mmz4281/2627/F1.csv
22/08/2026,19:45,Nice,Lorient,0,0,0,0,Ligue 1,https://www.football-data.co.uk/mmz4281/2627/F1.csv
22/08/2026,19:45,Toulouse,Lyon,0,2,0,0,Ligue 1,https://www.football-data.co.uk/mmz4281/2627/F1.csv
22/08/2026,19:45,Troyes,Paris FC,0,0,0,0,Ligue 1,https://www.football-data.co.uk/mmz4281/2627/F1.csv
23/08/2026,14:00,Angers,Lille,0,2,0,2,Ligue 1,https://www.football-data.co.uk/mmz4281/2627/F1.csv
23/08/2026,16:15,Le Havre,Monaco,0,1,0,1,Ligue 1,https://www.football-data.co.uk/mmz4281/2627/F1.csv
23/08/2026,19:45,Rennes,Paris SG,2,2,2,0,Ligue 1,https://www.football-data.co.uk/mmz4281/2627/F1.csv
28/08/2026,19:45,Lille,Paris SG,2,2,1,0,Ligue 1,https://www.football-data.co.uk/mmz4281/2627/F1.csv
29/08/2026,16:15,Strasbourg,Lens,2,1,0,1,Ligue 1,https://www.football-data.co.uk/mmz4281/2627/F1.csv
29/08/2026,19:45,Auxerre,Angers,1,3,1,1,Ligue 1,https://www.football-data.co.uk/mmz4281/2627/F1.csv
29/08/2026,19:45,Brest,Toulouse,2,2,1,1,Ligue 1,https://www.football-data.co.uk/mmz4281/2627/F1.csv
29/08/2026,19:45,Lorient,Troyes,1,2,0,2,Ligue 1,https://www.football-data.co.uk/mmz4281/2627/F1.csv
29/08/2026,19:45,Lyon,Le Havre,1,1,0,0,Ligue 1,https://www.football-data.co.uk/mmz4281/2627/F1.csv
30/08/2026,14:00,Paris FC,Nice,3,0,1,0,Ligue 1,https://www.football-data.co.uk/mmz4281/2627/F1.csv
30/08/2026,16:15,Rennes,Le Mans,3,2,2,1,Ligue 1,https://www.football-data.co.uk/mmz4281/2627/F1.csv
30/08/2026,19:45,Monaco,Marseille,2,0,1,0,Ligue 1,https://www.football-data.co.uk/mmz4281/2627/F1.csv
03/09/2026,19:45,Toulouse,Lille,0,1,0,0,Ligue 1,https://www.football-data.co.uk/mmz4281/2627/F1.csv
04/09/2026,18:00,Lyon,Auxerre,3,1,2,1,Ligue 1,https://www.football-data.co.uk/mmz4281/2627/F1.csv
04/09/2026,20:05,Paris SG,Monaco,1,2,1,0,Ligue 1,https://www.football-data.co.uk/mmz4281/2627/F1.csv
05/09/2026,16:15,Lens,Lorient,0,1,0,0,Ligue 1,https://www.football-data.co.uk/mmz4281/2627/F1.csv
05/09/2026,19:45,Le Havre,Brest,1,2,0,1,Ligue 1,https://www.football-data.co.uk/mmz4281/2627/F1.csv
05/09/2026,19:45,Nice,Le Mans,1,1,1,1,Ligue 1,https://www.football-data.co.uk/mmz4281/2627/F1.csv
06/09/2026,14:00,Troyes,Strasbourg,2,6,1,2,Ligue 1,https://www.football-data.co.uk/mmz4281/2627/F1.csv
06/09/2026,16:15,Angers,Rennes,1,2,1,2,Ligue 1,https://www.football-data.co.uk/mmz4281/2627/F1.csv
06/09/2026,19:45,Marseille,Paris FC,2,3,1,2,Ligue 1,https://www.football-data.co.uk/mmz4281/2627/F1.csv
11/09/2026,19:45,Rennes,Marseille,1,0,0,0,Ligue 1,https://www.football-data.co.uk/mmz4281/2627/F1.csv
