Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,league,source
22/08/2026,17:30,Inter,Monza,4,1,1,1,Serie A,https://www.football-data.co.uk/mmz4281/2627/I1.csv
22/08/2026,17:30,Udinese,Como,1,1,1,0,Serie A,https://www.football-data.co.uk/mmz4281/2627/I1.csv
22/08/2026,19:45,Genoa,Napoli,0,2,0,0,Serie A,https://www.football-data.co.uk/mmz4281/2627/I1.csv
22/08/2026,19:45,Parma,Cagliari,0,1,0,0,Serie A,https://www.football-data.co.uk/mmz4281/2627/I1.csv
23/08/2026,17:30,Frosinone,Juventus,0,1,0,1,Serie A,https://www.football-data.co.uk/mmz4281/2627/I1.csv
23/08/2026,17:30,Venezia,Lecce,0,2,0,0,Serie A,https://www.football-data.co.uk/mmz4281/2627/I1.csv
23/08/2026,19:45,Atalanta,Sassuolo,2,1,1,0,Serie A,https://www.football-data.co.uk/mmz4281/2627/I1.csv
23/08/2026,19:45,Torino,Milan,1,2,0,0,Serie A,https://www.football-data.co.uk/mmz4281/2627/I1.csv
24/08/2026,17:30,Bologna,Lazio,0,1,0,0,Serie A,https://www.football-data.co.uk/mmz4281/2627/I1.csv
24/08/2026,19:45,Roma,Fiorentina,4,0,1,0,Serie A,https://www.football-data.co.uk/mmz4281/2627/I1.csv
28/08/2026,19:45,Milan,Venezia,2,0,0,0,Serie A,https://www.football-data.co.uk/mmz4281/2627/I1.csv
29/08/2026,17:30,Fiorentina,Frosinone,0,3,0,2,Serie A,https://www.football-data.co.uk/mmz4281/2627/I1.csv
29/08/2026,17:30,Monza,Udinese,2,3,1,3,Serie A,https://www.football-data.co.uk/mmz4281/2627/I1.csv
29/08/2026,17:30,Sassuolo,Torino,2,1,1,1,Serie A,https://www.football-data.co.uk/mmz4281/2627/I1.csv
29/08/2026,19:45,Juventus,Parma,2,0,0,0,Serie A,https://www.football-data.co.uk/mmz4281/2627/I1.csv
30/08/2026,17:30,Napoli,Como,1,2,1,2,Serie A,https://www.football-data.co.uk/mmz4281/2627/I1.csv
30/08/2026,19:45,Cagliari,Inter,0,1,0,1,Serie A,https://www.football-data.co.uk/mmz4281/2627/I1.csv
30/08/2026,19:45,Lazio,Genoa,1,0,1,0,Serie A,https://www.football-data.co.uk/mmz4281/2627/I1.csv
31/08/2026,17:30,Lecce,Roma,0,4,0,3,Serie A,https://www.football-data.co.uk/mmz4281/2627/I1.csv
31/08/2026,19:45,Atalanta,Bologna,1,0,0,0,Serie A,https://www.football-data.co.uk/mmz4281/2627/I1.csv
04/09/2026,19:45,Genoa,Como,1,4,1,3,Serie A,https://www.football-data.co.uk/mmz4281/2627/I1.csv
05/09/2026,14:00,Fiorentina,Torino,1,2,0,0,Serie A,https://www.football-data.co.uk/mmz4281/2627/I1.csv
05/09/2026,17:00,Inter,Napoli,3,2,0,0,Serie A,https://www.football-data.co.uk/mmz4281/2627/I1.csv
05/09/2026,19:45,Roma,Atalanta,2,1,0,0,Serie A,https://www.football-data.co.uk/mmz4281/2627/I1.csv
06/09/2026,14:00,Frosinone,Venezia,3,2,2,0,Serie A,https://www.football-data.co.uk/mmz4281/2627/I1.csv
06/09/2026,14:00,Parma,Monza,1,1,0,1,Serie A,https://www.football-data.co.uk/mmz4281/2627/I1.csv
06/09/2026,17:00,Bologna,Sassuolo,2,2,0,1,Serie A,https://www.football-data.co.uk/mmz4281/2627/I1.csv
06/09/2026,19:45,Juventus,Milan,1,1,0,0,Serie A,https://www.football-data.co.uk/mmz4281/2627/I1.csv
07/09/2026,17:30,Cagliari,Lecce,1,0,1,0,Serie A,https://www.football-data.co.uk/mmz4281/2627/I1.csv
07/09/2026,19:45,Udinese,Lazio,1,2,0,0,Serie A,https://www.football-data.co.uk/mmz4281/2627/I1.csv
11/09/2026,19:45,Venezia,Fiorentina,2,4,1,2,Serie A,https://www.football-data.co.uk/mmz4281/2627/I1.csv
12/09/2026,14:00,Genoa,Frosinone,1,1,0,1,Serie A,https://www.football-data.co.uk/mmz4281/2627/I1.csv
12/09/2026,17:00,Lazio,Milan,2,2,2,0,Serie A,https://www.football-data.co.uk/mmz4281/2627/I1.csv
12/09/2026,19:45,Atalanta,Cagliari,1,2,1,1,Serie A,https://www.football-data.co.uk/mmz4281/2627/I1.csv
13/09/2026,14:00,Lecce,Monza,3,2,3,1,Serie A,https://www.football-data.co.uk/mmz4281/2627/I1.csv
13/09/2026,17:00,Napoli,Bologna,1,0,0,0,Serie A,https://www.football-data.co.uk/mmz4281/2627/I1.csv
13/09/2026,19:45,Sassuolo,Juventus,3,2,0,0,Serie A,https://www.football-data.co.uk/mmz4281/2627/I1.csv
14/09/2026,17:30,Como,Parma,2,1,1,0,Serie A,https://www.football-data.co.uk/mmz4281/2627/I1.csv
14/09/2026,17:30,Torino,Roma,0,2,0,1,Serie A,https://www.football-data.co.uk/mmz4281/2627/I1.csv
14/09/2026,19:45,Inter,Udinese,5,3,2,2,Serie A,https://www.football-data.co.uk/mmz4281/2627/I1.csv
