date,league,home_team,away_team,final_score,source_status
2026-09-19,Premier League,Brentford,Chelsea,3-0,verified
2026-09-19,Bundesliga,Bayern Munich,Union Berlin,7-0,verified
2026-09-19,LaLiga,Espanyol,Elche,1-3,verified
2026-09-19,Ligue 1,Monaco,Lens,2-1,verified
2026-09-19,Serie A,Monza,Sassuolo,2-1,verified
2026-09-19,Premier League,Tottenham Hotspur,Aston Villa,2-3,verified
2026-09-19,LaLiga,Osasuna,Rayo Vallecano,1-1,verified
2026-09-19,J1 League,Kawasaki Frontale,Kashima Antlers,3-3,verified
2026-09-19,J1 League,Urawa Reds,Tokyo Verdy,3-1,verified
2026-09-19,J1 League,Avispa Fukuoka,Sanfrecce Hiroshima,0-1,verified
2026-09-19,J1 League,V-Varen Nagasaki,Cerezo Osaka,1-1,verified
